code,Titre,Réalisateur / Réalisatrice,Genre,Genre_2,Langue,Année,Entrées,IMDB,Affiche_pic_url,Trailer,Synopsys
HÖHENFEUER,HÖHENFEUER,Fredi M. Murer,Fiction,Drama,GER,1985,"254,088",7.2,http://www.swissfilms.ch/static/pictures/film/F000139.jpg,https://www.youtube.com/watch?v=eYRZdRqYlIE,Un cinema silenzioso e provocatore nel quale si svolge una lotta tra modernità e tradizione. Probabilmente il film più emblematico di Fredi M. Murer e una delle opere svizzere più forti.
DERVERDINGBUB,DER VERDINGBUB,Markus Imboden,Fiction,Drama,GER,2011,"249,825",7.4,http://www.swissfilms.ch/static/pictures/film/F103064.jpg,https://www.youtube.com/watch?v=E9Qv_XVJ-js,"Il film ripercorre un capitolo buio della storia svizzera: migliaia di bambini strappati ai genitori e collocati in famiglie adottive, dove spesso venivano utilizzati come “schiavi”. "
VITUS,VITUS,Fredi M. Murer,Fiction,Drama,GER,2006,"243,636",7.7,http://www.swissfilms.ch/static/pictures/film/F041007.jpg,https://www.youtube.com/watch?v=xmQJlv6ivUU,La storia di un bambino ad alto potenziale che si ribella al futuro dettato dai suoi genitori.
LADENTELLIÈRE,LA DENTELLIÈRE,Claude Goretta,Fiction,Drama,FRE,1977,"239,710",7.9,http://www.swissfilms.ch/static/pictures/film/F113364.jpg,https://www.youtube.com/watch?v=vzkjNod3vEw,"Interpretato da una giovane Isabelle Huppert, è uno dei film culto del Nuovo cinema svizzero. Con 500mila entrate nella sola Parigi è stato il più grande successo di Claude Goretta. "
HANDYMAN,HANDYMAN,Jürg Ebe,Fiction,Comedy,GER,2006,"196,037",5.3,http://www.swissfilms.ch/static/pictures/film/F061304.jpg,https://www.youtube.com/watch?v=UWCi3uZsMBU,"Dopo essere stato lasciato dalla ragazza, Mike si rivolge a uno psicologo che gli promette di aiutarlo a trovare la donna dei suoi sogni. "
KASSETTENLIEBE,KASSETTENLIEBE,Rolf Lyssy,Fiction,Comedy,GER,1981,"186,075",4.5,http://tcfilm.weblotion.com/wp-content/uploads/k_liebe.jpg,https://www.youtube.com/watch?v=NJOIrj501TI,"In un’agenzia matrimoniale scoppia il caos dopo l’adozione di un nuovo sistema elettronico. La commedia è diretta da Rolf Lyssy, regista di “I fabbricasvizzeri”."
GIULIASVERSCHWINDEN,GIULIAS VERSCHWINDEN,Christoph Schaub,Fiction,Comedy,GER,2009,"183,557",6.6,http://www.swissfilms.ch/static/pictures/film/F092428.jpg,https://www.youtube.com/watch?v=zfUt8bN0zc0,"Giulia compie 50 anni, ma fatica ad accettarlo. Tratto da un libro di Martin Suter (scrittore e sceneggiatore), il film è una commedia sull’età e la giovinezza. "
DASGEFRORENEHERZ,DAS GEFRORENE HERZ,Xavier Koller,Fiction,Comedy / Drama,GER,1980,"181,362",7.4,http://www.filmsprung.ch/wordpress/wp-content/uploads/gefroreneherz1.jpg,http://www.srf.ch/shop/das-gefrorene-herz,"Tratta da un libro di Meinrad Inglin, la commedia si apre col ritrovamento del cadavere di un venditore ambulante in cima a una montagna. Il film è diretto da Xavier Koller, premio Oscar nel 1991 per “Il viaggio della speranza”."
ACHTUNGFERTIGWK!,"ACHTUNG, FERTIG, WK!",Oliver Rihs,Fiction,Comedy,GER,2013,"177,051",5.3,http://www.swissfilms.ch/static/pictures/film/F134508.jpg,https://www.youtube.com/watch?v=-G3bx4P2Dto,"Può un istruttore di yoga riformare il servizio militare svizzero e suo suocero? La commedia di Oliver Rihs ha avuto particolare successo nella Svizzera tedesca, senza però riuscire a ritagliarsi uno spazio all’estero. "
BROTUNDSTEINE,BROT UND STEINE,Mark M. Rissi ,Fiction,Drama,GER,1979,"160,779",7.1,http://www.artfilm.ch/site/cache/380-brotundsteine01.jpg,http://www.srf.ch/shop/brot-und-steine,"Un contadino difende la sua esistenza contro l’arrivo di una grande società, che vuole portargli via il terreno. Un cosiddetto “Heimatfilm”, centrato sulla difesa dell’identità e del paesaggio. "
DASBOOTISTVOLL,DAS BOOT IST VOLL,Markus Imhoof,Fiction,Drama,GER,1981,"159,530",7.2,http://www.swissfilms.ch/static/pictures/film/F000135.jpg,http://www.srf.ch/play/tv/me_gipfelstuermer/video/das-boot-ist-voll-1980?id=f1c006ba-8e5d-456f-a874-55760f3af1c3,"Candidato all'Oscar e vincitore di un orso berlinese, il film di Markus Imhoof si interroga sul ruolo della Svizzera nella Seconda guerra mondiale e in particolare sulla decisione di chiudere tutte le frontiere, annunciata nell’agosto del 1942. "
KOMIKER,KOMIKER,Markus Imboden,Fiction,Comedy / Drama,GER,2000,"157,936",5.9,http://www.swissfilms.ch/static/pictures/film/F000065.jpg,http://www.swissfilms.ch/de/film_search/filmdetails/-/id_film/-1399121157,"Il comico Roni Beck si nasconde in una casa per anziani, dove continua a sognare una carriera di successo. "
DERSCHWARZETANNER,DER SCHWARZE TANNER,Xavier Koller,Fiction,Drama,GER,1986,"149,216",7.3,http://www.swissfilms.ch/static/pictures/film/F134437.jpg,https://www.youtube.com/watch?v=740i2hDhVH8,"Nel 1941, in piena Seconda guerra mondiale, un contadino svizzero si rifiuta di seguire gli ordini delle autorità e di trasformare i pascoli in terreni agricoli.
"
MANIMATTERWARUMSYTDIRSOTRUURIG?,"MANI MATTER, WARUM SYT DIR SO TRUURIG?",Friedrich Kappeler,Documentaire,Documentary,GER,2002,"146,411",7.3,http://www.swissfilms.ch/static/pictures/film/F030645.jpg,http://www.srf.ch/play/tv/sternstunde-kunst/video/mani-matter-warum-syt-dir-so-truurig?id=e379f4a3-0bc0-4056-9278-1d0c4587fed1&index=all,"Ritratto del famoso cantante svizzero Mani Matter, presentato attraverso materiale d’archivio e testimonianze di famigliari. "
SENNENTUNTSCHI,SENNENTUNTSCHI,Michael Steiner,Fiction,Horror / Mystery,GER,2010,"141,397",6.6,http://www.swissfilms.ch/static/pictures/film/F082205.jpg,https://www.youtube.com/watch?v=Vqm-fli7T6Q,Dagli altari alla polvere e ritorno (forse): la travagliata storia di Michael Steiner e del suo film è un capitolo emblematico di cinema svizzero. La pellicola s'ispira al racconto di un'aberrazione sessuale ambientata nell'arco alpino.
